,0
1881,Trounce
1882,Turn on
1883,Tyranny
1884,Unabashed
1885,Unbeatable
1886,Unbelievable
1887,Uncensored
1888,Underhanded
1889,Unforgettable
1890,Unique
1891,Unleash
1892,Untamed
1893,Untouched
1894,Up to here
1895,Uplifting
1896,Urge
1897,Useless
1898,Valiant
1899,Valor
1900,Vanquish
1901,Vaporize
1902,Vicious
1903,Victim
1904,Victory
1905,Violate
1906,Violent
1907,Volatile
1908,Voluptuous
1909,Vulgar
1910,Vulnerable
1911,Wanton
1912,Warning
1913,Wet
1914,Whip
1915,Wild
1916,Win
1917,Wonderful
1918,Wondrous
1919,Worst
1920,Wounded
1921,Wreaking havoc
1922,X-rated
1923,Yearning
1924,Yummy
1927,Jackpot
1928,Lowest price
1929,Luxurious
1930,Marked down
1931,Massive
1932,Money
1933,Money-draining
1934,Money-saving
1935,Nest egg
1936,Pay zero
1937,Prize
1938,Profit
1939,Quadruple
1940,Reduced
1941,Rich
1942,Savings
1943,Fast
1944,While they last
1945,Expires
1946,Premiere
1947,More
1948,Sale ends soon
1949,Monetize
1950,Save
1951,Deadline
1952,Noteworthy
1953,Moneymaking
1954,Lucky
1955,Amplify
1956,Attractive
1957,Ahead of the game
1958,Beautiful
1959,Good-looking
1960,Bold
1961,Sassy
1962,Elegant
1963,Clever
1964,Quick-witted
1965,Effective
1966,Drop-dead
1967,Dazzling
1968,Turbo charge
1969,Super-human
1970,Booming
1971,Unbeaten
1972,Boost
1973,Frugal
1974,Price break
1975,Running out
1976,Bonus
1977,Six-figure
1978,Skyrocket
1979,Soaring
1980,Surge
1981,Treasure
1982,Triple
1983,Waste
1984,Wealth
1985,Whopping
1987,Privacy
1988,Professional
1989,Protected
1990,Proven
1991,Recession-proof
1992,Refund
1993,Reliable
1994,Research
1995,Results
1996,Risk-free
1997,Rock-solid
1998,Science-backed
1999,Scientific
2000,Bona fide
2001,Authority
2002,Because
2003,Genuine
2004,Authoritative
2005,Accredited
2006,Case study
2007,Dependable
2008,Ensured
2009,According to
2010,Approved
2011,Secure
2012,Sure-fire
2013,Survive
2014,Tested
2015,That never fails
2016,Thorough
2017,Trustworthy
2018,Try before you buy
2019,Unconditional
2020,Verify
2021,World-class
2022,Don’t worry
2024,Lost
2025,Never seen before
2026,Off the record
2027,Off-limits
2028,Outlawed
2029,Private
2030,Restricted
2031,Sealed
2032,Be the first
2033,Become an insider
2034,Bizarre
2035,Class full
2036,Closet
2037,Elusive
2038,Hilarious
2039,Illusive
2040,Incredibly
2041,Insane
2042,Interesting
2043,Invitation only
2044,Key
2045,Login required
2046,Members only
2047,Myths
2048,Odd
2049,On the QT
2050,Priceless
2051,Privy
2052,Psycho
2053,Secret
2054,Smuggled
2055,Strange
2056,Tried to hide
2057,Unauthorized
2058,Uncensored
2059,Under wraps
2060,Undercover
2061,Underground
2062,Under-the-table
2063,Undisclosed
2064,Unexpected
2065,Unlock
2066,Unreachable
2067,Unspoken
2068,Unveiled
2069,Withheld
2348,Abhorrent
2349,Above and beyond
2350,Abuse
2351,Adorable
2352,Affable
2353,Agitate
2354,Agony
2355,Allure
2356,Amazing
2357,Ancient
2358,Annoy
2359,Annoying
2360,Anonymous
2361,Apocalypse
2362,Armageddon
2363,Arouse
2364,Arrogant
2365,Ascend
2366,Ass kicking
2367,Assault
2368,Astonishing
2369,Astounding
2370,At the top
2371,Audacious
2372,Authentic
2373,Automatic
2374,Awe-inspiring
2375,Awesome
2376,Backbone
2377,Backdoor
2378,Backed
2379,Backlash
2380,Backstabbing
2381,Badass
2382,Bank
2383,Bankable
2384,Banned
2385,Barbaric
2386,Bare
2387,Bargain
2388,Bash
2389,Beat
2390,Beat down
2391,Beating
2392,Beauteous
2393,Before
2394,Begging
2395,Beguiling
2396,Behind the scenes
2397,Belief
2398,Best
2399,Best-selling
2400,Beware
2401,Big
2402,Big mouth
2403,Billion
2404,Black Market
2405,Blacklisted
2406,Blatant
2407,Blinded
2408,Blissful
2409,Blood
2410,Bloodbath
2411,Bloodcurdling
2412,Bloody
2413,Blunder
2414,Bomb
2415,Bonanza
2416,Booked solid
2417,Bootleg
2418,Boss
2419,Brassy
2420,Bravery
2421,Brazen
2422,Breathtaking
2423,Bright
2424,Brilliant
2425,Broke
2426,Brutal
2427,Buffoon
2428,Bufoon
2429,Bullsh*t
2430,Bully
2431,Bumbling
2432,Cadaver
2433,Cancel anytime
2434,Captivating
2435,Cash
2436,Catastrophe
2437,Caution
2438,Celebrate
2439,Censored
2440,Certified
2441,Charm
2442,Cheap
2443,Cheat
2444,Cheat sheet
2445,Cheeky
2446,Cheer
2447,Classified
2448,Climax
2449,Cloak and dagger
2450,Clobber
2451,Clockwork
2452,Clown
2453,Cocky
2454,Collapse
2455,Colossal
2456,Command
2457,Concealed
2458,Confessions
2459,Confidential
2460,Conquer
2461,Controversial
2462,Corpse
2463,Corrupt
2464,Costly
2465,Courage
2466,Covert
2467,Cover-up
2468,Coward
2469,Crave
2470,Crazy
2471,Cripple
2472,Crisis
2473,Crooked
2474,Crowned
2475,Crush
2476,Curse
2477,Danger
2478,Dangerous
2479,Daring
2480,Dark
2481,Deadly
2482,Death
2483,Debase
2484,Deceiving
2485,Defeat
2486,Defiance
2487,Defile
2488,Delight
2489,Delight
2490,Delinquent
2491,Delirious
2492,Demolish
2493,Depraved
2494,Desecrate
2495,Desire
2496,Destroy
2497,Devastating
2498,Devoted
2499,Diatribe
2500,Dignity
2501,Dirty
2502,Disastrous
2503,Discount
2504,Disgusting
2505,Dishonest
2506,Distorted
2507,Divine
2508,Dollar
2509,Dominate
2510,Don’t miss out
2511,Doom
2512,Double
2513,Drowning
2514,Dumb
2515,Ecstasy
2516,Effortless
2517,Elite
2518,Embarrass
2519,Embrace
